COUNTRY,NAME,TITLE,URL,
Mauritania,Mohamed Ould Abdel Aziz,President,https://www.facebook.com/pages/Mohamed-Ould-Abdel-Aziz/111790779618,
Mexico,Enrique Pena Nieto,President,https://www.facebook.com/PresidenciaMX,
Moldova,Vlad Filat,Prime Minister,https://www.facebook.com/pages/Vlad-Filat/106535802709949,
Mongolia,Tsakhiagiin Elbegdorj,President,https://www.facebook.com/Elbegdorj.Tsakhia,
Montenegro,Filip Vujanovic,President,https://www.facebook.com/pages/Naprijed-Filip-Vujanovi%C4%87/132416243603904,
Morocco,Abdelilah Benkirane,Prime Minister,https://www.facebook.com/pages/Marocgovma/216371928379419,
Nepal,Khil Raj Regmi,Prime Minister,https://www.facebook.com/khilrajregmi.org,
Netherlands,Mark Rutte,Prime Minister,https://www.facebook.com/ministerpresident,
New Zealand,John Key,Prime Minister,https://www.facebook.com/pmjohnkey,
Niger,Mahamadou Issoufou,President,https://www.facebook.com/MahamadouIssoufouPNDS,
Nigeria,Goodluck Jonathan,President,https://www.facebook.com/jonathangoodluck,
Norway,Jens Stoltenberg,Prime Minister,https://www.facebook.com/jensstoltenberg,
Oman,Qaboos bin Said al Said,Sultan,https://www.facebook.com/oman.om,
Palestine,Salam Fayyad,Prime Minister,https://www.facebook.com/Salam.Fayyad,
Panama,Ricardo Martinelli,President,https://www.facebook.com/presidencia.panama,
Paraguay,Horacio Cortes,President,https://www.facebook.com/horaciocartesoficial,
Peru,Ollanta Humala,President,https://www.facebook.com/presidenciaperu,
Phillippines,Benigno Aquino III,President,https://www.facebook.com/presidentnoy,
Poland,Donald Tusk,Prime Minister,https://www.facebook.com/KancelariaPrezesaRadyMinistrow,
Portugal,Anibal Cavaco Silva,President,https://www.facebook.com/CavacoSilva,
Republic of Congo,Denis Sassou N'Guesso,President,https://www.facebook.com/sassou.net,
Romania,Victor Ponta,Prime Minister,https://www.facebook.com/Ponta.Victor,
Russia,Dmitry Medvedev,President,https://www.facebook.com/Dmitry.Medvedev,
Rwanda,Paul Kagame,President,https://www.facebook.com/PresidentPaulKagame,
Saint Lucia,Kenny Anthony,Prime Minister,https://www.facebook.com/SaintLuciaGovernment,
Saint Vincent and the Grenandines,Ralph Gonsalves,Prime Minister,https://www.facebook.com/comradegonsalves,
Saudi Arabia,Abdullah,King,https://www.facebook.com/saudiportal,
Senegal,Macky Sall,President,https://www.facebook.com/prmackysall,
Serbia,Ivica Dacic,Prime Minister,https://www.facebook.com/eUprava,
Sierra Leone,Ernest Bai Koroma,President,https://www.facebook.com/ernest.koroma.1,
Singapore,Lee Hsien Loong,Prime Minister,https://www.facebook.com/leehsienloong,
Slovenia,Borut Pahor,President,https://www.facebook.com/borutpahor.si,
Somalia,Hassan Sheikh Mohamud,President,https://www.facebook.com/MadaxweynahaJFS,
South Africa,Jacob Zuma,President,https://www.facebook.com/PresidencyZA,
Spain,Mariano Rajoy,Prime Minister,https://www.facebook.com/pages/Mariano-Rajoy-Brey/54212446406,
Sri Lanka,Mahinda Rajapaksa,President,https://www.facebook.com/PresidentRajapaksa,
Sweden,Fredrik Reinfeldt,Prime Minister,https://www.facebook.com/pages/Fredrik-Reinfeldt/314249689102,
Switzerland,Andre Simonazzi,Federal Council,https://www.facebook.com/chchportal,
Tajikistan,Emomalii Rahmon,President,https://www.facebook.com/khadamotimatbuot,
Tanzania,Jakaya Kikwete,President,https://www.facebook.com/Kikwete,
Thailand,Yingluck Shinawatra,Prime Minister,https://www.facebook.com/Y.Shinawatra,
Togo,Faure Gnassingbe,President,https://www.facebook.com/faure.gnassingbe.9,
Tunisia,Moncef Marzouki,Prime Minister,https://www.facebook.com/Dr.Marzouki.Moncef,
Turkey,Abdullah Gul,President,https://www.facebook.com/cbabdullahgul,
Uganda,Yoweri Museveni,President,https://www.facebook.com/statehouseug,
Ukraine,Mykola Azarov,Prime Minister,//www.facebook.com/KabminUA,
United Arab Emirates,Sheikh Mohammed bin Rashid Al Maktourn,"Vice President, Prime Minister and Ruler of Dubai",https://www.facebook.com/HHSheikhMohammed,
United Kingdom,British Monarchy,British Monarchy,https://www.facebook.com/TheBritishMonarchy,
United Kingdom,David Cameron,Prime Minister,https://www.facebook.com/DavidCameron,
United States,Barack Obama,President,https://www.facebook.com/barackobama,
Uzbekistan,Islam Karimov,President,https://www.facebook.com/govuz,
Vanuatu,Iolu Abil,President,https://www.facebook.com/vanuatugovernment,
Venezuela,Nicolas Maduro,President,https://www.facebook.com/NicolasMaduro2013,
Vietnam,Nguyen Tan Dung,Prime Minister,https://www.facebook.com/nguyentandungpage,
