NAME,ID,NOTES,URL
Consumer Financial Protection Bureau,141576752553390,EXEC,https://www.facebook.com/CFPB
Bureau of Indian Affairs,211979362167761,EXEC,https://www.facebook.com/pages/US-Indian-Affairs/211979362167761
Bureau of Land Management,356334387311,EXEC,https://www.facebook.com/BLMNational
Bureau of Reclamation,62014882904,EXEC,https://www.facebook.com/bureau.of.reclamation
United States Capitol,138819462821564,EXEC,https://www.facebook.com/USCapitol
Chief Human Capital Officers Council,168795866510850,EXEC,https://www.facebook.com/CHCOCouncil
Chief Information Officers Council,141611132533864,EXEC,https://www.facebook.com/pages/Chief-Information-Officers-Council/141611132533864
United States Commission on Civil Rights,142616809143972,EXEC,https://www.facebook.com/pages/United-States-Commission-on-Civil-Rights/142616809143972
U.S. Helsinki Commission,102596134946,EXEC,https://www.facebook.com/helsinkicommission
Community Oriented Policing Services (DOJ),167559609940802,EXEC,https://www.facebook.com/DOJCOPS
White House Council on Environmental Quality,197889273569988,EXEC,https://www.facebook.com/WhiteHouseCEQ
Defense Acquisition University,116219135100961,DEF,https://www.facebook.com/Defense.Acquisition.University
"DARPA, The Defense Advanced Research Projects Agency",67150982149,DEF,https://www.facebook.com/DARPA
Defense Commissary Agency,136880189673357,DEF,https://www.facebook.com/YourCommissary
Defense Contract Audit Agency,402904819775613,DEF,https://www.facebook.com/DefenseContractAuditAgency
Defense Contract Management Agency,201124769903257,DEF,https://www.facebook.com/DefenseContractManagementAgency
Defense Finance and Accounting Service - DFAS,112249422145566,DEF,https://www.facebook.com/DefenseFinanceandAccountingService
Defense Information Systems Agency,250189231547,DEF,https://www.facebook.com/USdisa
Defense Intelligence Agency,59555160918,DEF,https://www.facebook.com/DIA
Defense Logistics Agency (DLA),381950967432,DEF,https://www.facebook.com/dla.mil
Defense Security Cooperation Agency,128258946827,DEF,https://www.facebook.com/pages/Defense-Security-Cooperation-Agency/128258946827
Defense Technical Information Center,111446088869391,DEF,https://www.facebook.com/dtic.mil
Defense Threat Reduction Agency,226346004154990,DEF,https://www.facebook.com/pages/Defense-Threat-Reduction-Agency-DTRA/226346004154990
Denali Commission,443508419026558,EXEC,https://www.facebook.com/DenaliCommission
NIH Common Fund,177694345609050,HHS,https://www.facebook.com/NIHCommonFund
CDC Tobacco Free,134234289975376,HHS,https://www.facebook.com/cdctobaccofree
Healthfinder.gov,258523567528975,HHS,https://www.facebook.com/healthfinder
Disaster Distress Helpline,124962924227377,HHS,https://www.facebook.com/distresshelpline
National Eye Health Education Program,120483694695933,HHS,https://www.facebook.com/NationalEyeHealthEducationProgram
Million Hearts,188110277921904,HHS,https://www.facebook.com/millionhearts
FedStrive,428970577117151,HHS,https://www.facebook.com/FedStrive
NIH Office of Dietary Supplements,320952651295590,HHS,https://www.facebook.com/NIH.ODS
National Institute of Environmental Health Sciences,122023534497499,HHS,https://www.facebook.com/NIH.NIEHS
Substance Abuse & Mental Health Services Administration,244833777506,HHS,https://www.facebook.com/samhsa
U.S. Public Health Service Pharmacists,105744979470470,HHS,https://www.facebook.com/USPHSPharmacists
U.S. Public Health Service Nurses,138192989537134,HHS,https://www.facebook.com/pages/US-Public-Health-Service-Nurses/138192989537134
StopBullying.gov,190063684367149,HHS,https://www.facebook.com/StopBullying.Gov
Public Health Emergency,124033720970158,HHS,https://www.facebook.com/phegov
Office on Women's Health,10200000000000000,HHS,https://www.facebook.com/HHSOWH
Medical Reserve Corps,144570828951654,HHS,https://www.facebook.com/medicalreservecorps
HealthCare.gov,130163127032931,HHS,https://www.facebook.com/Healthcare.gov
GirlsHealth.gov,341364156720,HHS,https://www.facebook.com/girlshealth
FoodSafety.gov,200723243307374,HHS,https://www.facebook.com/FoodSafety.gov
